Timestamp,Collector,Latitude,Longitude,Decorated scale
10/31/2023 23:57:25,MF,36.0971817,-87.0531755,Very Scary
11/1/2023 0:04:32,MF,36.0897791,-87.0514774,Ok
11/1/2023 0:07:32,MF,36.0922673,-87.054327,Ok
11/1/2023 0:08:35,MF,36.0929297,-87.0554324,Bad
11/1/2023 0:10:01,MF,36.0933487,-87.0569033,Bad
11/1/2023 0:10:44,MF,36.0928453,-87.0571374,Very Scary
11/1/2023 0:11:36,MF,36.0924293,-87.0566105,Ok
11/1/2023 0:14:35,MF,36.0911539,-87.0573716,Very Scary
11/1/2023 0:15:27,MF,36.0910104,-87.0567081,Ok
11/1/2023 0:19:17,MF,36.0910104,-87.0567081,Very Scary
11/1/2023 0:19:54,MF,36.0904999,-87.0583865,Very Scary
11/1/2023 0:23:16,MF,36.0916021,-87.0618212,Good
11/1/2023 0:36:37,MF,36.0960752,-87.0538976,Bad
11/1/2023 0:38:13,MF,36.0974841,-87.0525314,Good
11/1/2023 0:39:45,MF,36.0975865,-87.0515164,Ok
